,song-name,lyrics,release-year,genius-path
0,Air Bud,strange strange days inside my mind is daily changing and it's charged by the shifting tones of time flying just in case you were wondering where i was was strange strange strange days inside my mind is daily changing as result of the black cloud coming down just in case you were watching the horizon horizon horizon  we want out and we want it now we wanna take it outta town we want out and we want it now we wanna take it outta town strange strange days inside,2013,/Kurt-vile-air-bud-lyrics
1,All in a Daze Work, chinese charms and welltanked in burbank strumming unsuccessfully but moreso just pressin' keys and hey jack of diamonds all jack of horse hey man i believe i'm floating and off course of course guess i got my mind well twisted didnt i well   all in a daze work and all in a daze work and all in a daze work and all in a daze work and all in a daze work and all in a all in a all in a daze work   she come flying through like a traveling gypsy show tornado leaving us lying there bleedin cut wide open hearts broken guess i got my mind well twisted didnt i well  chorus all in a daze work and all in a daze work and all in a daze work and all in a daze work and all in a daze work and all in a all in a all in a daze work,2015,/Kurt-vile-all-in-a-daze-work-lyrics
2,Amplifier,don't just stand  your head don't sit   turn around to the trees toss your key 'cause this is home this is home  alone  the  that you got to know i don't mean to cause you suffering  'cause i got nothing in my head  to tell a  he was alone he was alone don't sit still head don't sit   upside down turn around towards the amplifier  understand my command free your keys 'cause this is home this is home this is home home home,2009,/Kurt-vile-amplifier-lyrics
3,Baby’s Arms,there has been but one true love in my babys arms in my babys arms and i got the hands to hold onto them  i get sick of just about everyone and i hide in my babys arms my babys arms 'cause except for her you know as i've implied  i will never ever ever be alone 'cause its all in my babys hands shiny shiny secret stones in my babys hands in my babys hands  i get sick of just about everyone and i hide in my babys arms shrink myself just like a tom thumb and i hide in my babys hands hide in my babys hands  'cause except for her there just ain't nothing to latch onto yeah yeah yeah  there has been but one true love in my babys arms in my babys arms in my babys arms in my babys arms in my babys arms in my babys arms in my babys arms,2011,/Kurt-vile-babys-arms-lyrics
4,Bad Omens,instrumental,2015,/Kurt-vile-bad-omens-lyrics
5,Bassackwards, what's in realwhat's in real time ha ha ha   i was on the beach but i was thinking about the bay got to the bay but by then i was far away i was on the ground but looking straight into the sun but the sun went down and i couldn't find another one for awhile for because it was an allburning feeling in my chest to fill the void of a long night unwatched by well the sun until the morn until when well the sun's reborn and so am i from all the scorn buried deep within the psyche of my soul i was standing down but i was also on the run in my mind  i was on the radio talking with a friend of mine there wasn't no format because well we like it like that he was out of his mind and i was way out of mine then everything went backwards with words coming out bassackwards and i appreciate him to the utmost degree ,2018,/Kurt-vile-bassackwards-lyrics
6,Beach On The Moon (Recycled Lyrics),i got a freeway in mind let go of my head walk down my line better be sure you'll be dead you get up on top these days you gotta be a lowlife drifter so slither up just like a snake upon a spiral staircase  got a freeway in mind let go of my head walk down my line better be sure you'll be dead you get up on top these days you gotta be a lowlife drifter so slither up just like a snake upon a spiral staircase slither up just like a snake upon a spiral staircase  get your damn hands off of my land why don't you sock me and get off of my street 'cause i scared you out of your own shoes now i'm gonna tie 'em together and hang 'em on a wire till it's junkies for hire and i got a hunchback  got a freeway in mind let go of my head walk down my line better be sure you'll be dead to get up on top these days you gotta be a lowlife drifter so slither up just like a snake upon a spiral staircase slither up just like a snake upon a spiral staircase slither up just like a snake upon a spiral staircase slither up just like a snake upon a spiral staircase slither up just like a snake upon a spiral staircase slither up just like a snake upon a spiral staircase slither up just like a snake upon a spiral staircase slither up just like a snake upon a spiral staircase slither up just like a snake upon a spiral staircase,2009,/Kurt-vile-beach-on-the-moon-recycled-lyrics-lyrics
7,Blackberry Song, man i like your style make it last a little while put yourself under the ground and you come back around i want to see you still the same   girl you're like a child your blackberries grow so wild pick the best ones off the bush you relish and wish you were alright left with lace with rightness   my beloved blackberry my love for you floats free leave yourself in sound turn around sing me your blackberry song,2009,/Kurt-vile-blackberry-song-lyrics
8,(Bottle Back),instrumental,2018,/Kurt-vile-bottle-back-lyrics
9,Bottle It In,don't tell them that you love them for your own sake naw you better bottle it in  don't tell them that you love them for your own sake 'cause you never know 'cause you never know when your heart's gonna break and that's a chance we just can't take  you bottled it in you bottled it in  you never got back at me when when i most needed it i would say i didn't mind but you done it over and over all the time all the time you better bottle it in  don't tell them that you love them for your own sake 'cause you never know when your heart's gonna break and that's a chance you can't take don't don't don't don't dammit ,2018,/Kurt-vile-bottle-it-in-lyrics
